Designator,Mid X,Mid Y,Rotation,Layer
_6,91.663606,-85.154783,0.0,top
_5,44.633879,-38.720371,0.0,top
_4,229.180909,-77.415716,0.0,top
_3,49.396382,-77.415714,0.0,top
_2,232.752786,-38.720369,0.0,top
,186.913686,-83.368844,0.0,top
BAT,134.863823,-32.060716,0.0,bottom
D1,36.357097,-30.972603,0.0,bottom
D10,244.449414,-32.064092,0.0,bottom
D11,36.348186,-50.613241,0.0,bottom
D12,58.494575,-51.616811,3.0,bottom
D13,78.268775,-53.80247,6.0,bottom
D14,97.983252,-57.188166,9.0,bottom
D15,117.692392,-61.185692,12.0,bottom
D16,169.936722,-57.982787,348.0,bottom
D17,189.803341,-54.77579,351.0,bottom
D18,209.590578,-52.726512,354.0,bottom
D19,229.461901,-51.352233,357.0,bottom
D2,56.125706,-31.970264,3.0,bottom
D20,249.228071,-51.109463,0.0,bottom
D21,36.349648,-70.254649,0.0,bottom
D22,63.28263,-71.855347,3.0,bottom
D23,82.995918,-74.662303,6.0,bottom
D24,102.736411,-78.026542,9.0,bottom
D25,122.446282,-82.009264,12.0,bottom
D26,165.207385,-78.94393,348.0,bottom
D27,185.099396,-75.705762,351.0,bottom
D28,204.87558,-73.037479,354.0,bottom
D29,224.728774,-71.495484,357.0,bottom
D3,75.872831,-34.157378,6.0,bottom
D30,249.293699,-70.759151,0.0,bottom
D31,41.120334,-89.310371,0.0,bottom
D32,63.262596,-92.096892,3.0,bottom
D33,83.000893,-94.288083,6.0,bottom
D34,110.48133,-100.602442,12.0,bottom
D35,177.119659,-97.06691,348.0,bottom
D36,204.87558,-92.633673,354.0,bottom
D37,224.728775,-91.220178,357.0,bottom
D38,246.857477,-89.853786,0.0,bottom
D4,95.605677,-36.940527,9.0,bottom
D5,115.314009,-40.919473,12.0,bottom
D6,162.853269,-39.504989,348.0,bottom
D7,182.664053,-36.279289,351.0,bottom
D8,202.536596,-33.863176,354.0,bottom
D9,222.321616,-32.445139,357.0,bottom
KNOB1,159.7530428755472,-74.99232873474183,192.0,top
KNOB2,119.24873132963599,-76.27167326158913,168.0,top
MX1,33.322931,-26.814109,0.0,top
MX10,238.110604,-26.814108,0.0,top
MX11,33.322932,-46.459438,0.0,top
MX12,55.349514,-47.054751,357.0,top
MX13,74.994843,-48.840691,354.0,top
MX14,94.640172,-51.817257,351.0,top
MX15,114.285502,-55.389134,348.0,top
MX16,164.29179,-54.198507,12.0,top
MX17,183.937121,-50.62663,9.0,top
MX18,203.58245,-48.245379,6.0,top
MX19,223.22778,-46.459439,3.0,top
MX2,52.968261,-27.409422,357.0,top
MX20,242.873109,-45.864126,0.0,top
MX21,33.322932,-66.104767,0.0,top
MX22,60.112017,-67.295395,357.0,top
MX23,79.757346,-69.676647,354.0,top
MX24,99.402676,-72.653211,351.0,top
MX25,119.048004,-76.225087,348.0,top
MX26,159.529288,-75.034463,12.0,top
MX27,179.174618,-71.462583,9.0,top
MX28,198.819946,-68.486019,6.0,top
MX29,218.465277,-66.700081,3.0,top
MX3,72.61359,-29.195361,354.0,top
MX30,242.873109,-65.509455,0.0,top
MX31,38.085435,-85.154783,0.0,top
MX32,60.112017,-87.536036,357.0,top
MX33,79.757346,-89.321976,354.0,top
MX34,107.141744,-94.679791,347.0,top
MX35,171.435548,-93.489164,13.0,top
MX36,198.819946,-88.131348,6.0,top
MX37,218.465277,-86.345409,3.0,top
MX38,240.491856,-84.559472,0.0,top
MX4,92.258919,-31.576612,351.0,top
MX5,111.904249,-35.148491,348.0,top
MX6,157.148037,-35.743806,12.0,top
MX7,176.793365,-32.171928,9.0,top
MX8,196.438695,-29.195363,6.0,top
MX9,216.084023,-27.409423,3.0,top
PM1,135.60138,-45.268814,270.0,top
RGB1,135.19498,-45.179709,180.0,bottom
RGB10,190.990417,-37.99187,90.0,bottom
RGB2,83.846805,-38.157326,90.0,bottom
RGB3,39.400796,-35.58951,90.0,bottom
RGB4,47.610405,-69.676586,90.0,bottom
RGB5,89.113826,-78.008068,90.0,bottom
RGB6,139.577032,-91.695246,0.0,bottom
RGB7,192.172948,-78.00518,90.0,bottom
RGB8,230.966655,-69.081332,90.0,bottom
RGB9,237.907382,-35.589509,90.0,bottom
RST1,134.449869,-105.616911,180.0,top
SOFT_PWR1,142.356889,-105.611835,180.0,top
